index,creative,answer_time_90,survey_created,wave,version,survey_end_time,survey_start_time,answer_time_75,userid,answer_time_median,answer_time_min,surveyid,shortcode,survey_duration,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20,a21,a22,a23,a24,a25,a26,a27,a28,a29,a3,a30,a31,a32,a33,a34,a35,a36,a37,a38,a39,a4,a40,a41,a42,a43,a44,a45,a46,a47,a48,a49,a5,a50,a51,a52,a6,a7,a8,a9,age,consent,default_tys,education,gender,location,occupation,religion,state,ability,motivation,vaccinated,fully_vaccinated
54,,23.380999999999997,2021-05-25 01:55:15.381+00:00,0,19,2021-06-26 19:41:25.504000+00:00,2021-06-26 19:29:25.237000+00:00,17.323,bb226d73656c96f0c4c3522bea842a5bc4a877c4c5cab0056920f708da11dfc6,12.062000000000001,7.2170000000000005,b43cefd2-9965-4869-8494-99a700a20833,HCP,720.267,Moderately important,A moderate amount,"International Organizations like CDC, WHO","Yes, somewhat","Yes, somewhat",No,,Waiting for Pfizer's brand,Strongly disagree,Strongly agree,Agree,Strongly disagree,Unsure,,A bit difficult,A little,A little safe,Moderately important,Moderately important,Not sure,4 years,Yes,Newspapers,Blood clots etc,No,,,,,Yes,"For entertainment, Health care information update and religious activities",Public,No,,,Yes,For learning and fun,Don’t remember,,,Yes,Entertainment and learning purpose,Tertiary healthcare facility,Yes,Yes,Yes,No,A little concerned,No,No,18-29 years,Accept,,Bachelors,Man,North Central (Middle Belt),Pharmacist,Other Christian,Abuja,False,False,False,False
534,vlab-nigeria-hw-generic-3,108.3477,2021-05-25 01:55:15.381+00:00,0,19,2021-06-29 23:03:58.638000+00:00,2021-06-26 11:41:23.103000+00:00,46.1545,d4eee9f60a15d1313964b7bc730e3194a3763addffe09cc1cc58ee5c063f85fa,27.359,11.997,b43cefd2-9965-4869-8494-99a700a20833,HCP,300155.535,Extremely important,A great deal,Nigerian Center for Disease Control (NCDC),"Yes, definitely","Yes, definitely","Yes, first dose only",To prevent COVID-19 from spreading,,,,,,,,Very easy,Moderately,Very safe,Very important,Very important,Yes,13 years,Yes,Pains at injections site,Preventive measure against covid-19,Yes,Getting health care information other s,Yes,Yes,Yes,Yes,"Catching health care with friends, getting health care information",Public,Yes,Yes,Yes,No,,,,,No,,Primary healthcare facility,,,,No,Not at all concerned,No,No,40-49 years,Accept,,Bachelors,Woman,South West,Community health worker,Islam,Ogun,True,True,True,False
654,vlab-nigeria-hw-ppmv-1,50.002599999999994,2021-05-25 01:55:15.381+00:00,0,19,2021-06-28 13:35:33.221000+00:00,2021-06-28 13:14:00.460000+00:00,20.588500000000003,a09ef8c15070ee6ae627fcc45120972da23b3251cca77520e7b5a8de2184de74,14.948,7.5280000000000005,b43cefd2-9965-4869-8494-99a700a20833,HCP,1292.761,Moderately important,Not at all,"International Organizations like CDC, WHO",Not at all,Not at all,No,,I don't trust the vaccine to be safe and I think they are more danger infectious diseases that we need to find a vaccine for first,Agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Unsure,,A bit difficult,Not at all,Don’t know/Can’t say,Not at all important,Not at all important,Not sure,2years,Yes,I read on newspaper that a woman died few days after receiving the vaccine from complications related to the vaccine,I read that thrombosis can be caused from using the vaccine,Yes,"I read posts on Facebook on general life issues, it's a source of relaxation for me",Don’t remember,,,Yes,I use WhatsApp for catching up with family and friends mainly,Public,No,,,Yes,I watch YouTube videos to get information on any topic of interest,Yes,No,No,No,,Tertiary healthcare facility,,,,Yes,A little concerned,Yes,No,30-39 years,Accept,,Bachelors,Woman,South West,Other public health practitioner,Other,Lagos,False,False,False,False
265,vlab-nigeria-hw-chw-1,59.406000000000006,2021-05-25 01:55:15.381+00:00,0,19,2021-06-29 20:27:58.741000+00:00,2021-06-29 20:02:28.018000+00:00,31.4955,c28f8f043f9af676b9f6cd358ceb11f22e673025965cdea13ae90d1bb568dad7,20.4765,7.62,b43cefd2-9965-4869-8494-99a700a20833,HCP,1530.723,Slightly important,A little,"International Organizations like CDC, WHO",Not at all,Not at all,No,,It's long term adverse effects are yet to be discovered or established,Strongly agree,Disagree,Agree,Disagree,Very unlikely to take it,,Very difficult,Not at all,Don’t know/Can’t say,Not at all important,Not at all important,No,4,Yes,Nigeria and Western Nations,Mild cases of blood clots and allergies,Yes,All of the above,Yes,No,No,Yes,All of the above,Private,No,,,Yes,Getting information and watching videos,No,,,No,,,,,,No,A little concerned,No,No,30-39 years,Accept,,Bachelors,Man,South South (Niger Delta),Other public health practitioner,Catholic,Delta,False,False,False,False
28,,15.326,2021-05-25 01:55:15.381+00:00,0,19,2021-06-28 11:02:07.697000+00:00,2021-06-28 10:54:49.835000+00:00,11.264000000000001,16dc04971033055b8c8e59dbcb60793e8e8a0a9c255e02a2305dc435089b9ab2,9.331000000000001,6.416,b43cefd2-9965-4869-8494-99a700a20833,HCP,437.862,Extremely important,A moderate amount,"International Organizations like CDC, WHO","Yes, somewhat","Yes, somewhat",No,,Currently breastfeeding,Agree,Strongly disagree,Disagree,Disagree,I will immediately take it,Yes,Quite easy,Moderately,Moderately safe,Very important,Very important,Yes,4,No,,,Yes,Getting information,Don’t remember,,,Yes,Catching up with friends,Private,No,,,No,,,,,No,,,,,,No,Moderately concerned,No,No,18-29 years,Accept,,Bachelors,Woman,South West,Pharmacist,Other Christian,Lagos,True,True,False,False
627,vlab-nigeria-hw-ppmv-1,34.41340000000001,2021-05-25 01:55:15.381+00:00,0,19,2021-06-25 16:01:47.950000+00:00,2021-06-25 15:47:47.293000+00:00,21.261000000000003,6eac1be8bc2f3c3b3f32bc28677f7bbdaf09f017d85dcdbbe40f98f8105119a3,14.538,5.578,b43cefd2-9965-4869-8494-99a700a20833,HCP,840.657,Extremely important,A great deal,Ministry of Health,"Yes, definitely","Yes, definitely","Yes, first dose only",To protect myself and my family,,,,,,,,Very easy,Very much,Very safe,Very important,Very important,Yes,6 years,Yes,Ministry of health,To protect oneself,Yes,Getting healthcare information,Yes,Yes,Yes,Yes,Getting healthcare information,Private,Yes,Yes,Yes,Yes,Getting healthcare information,Yes,Yes,Yes,Yes,Getting healthcare information,,Yes,Yes,Yes,No,Very concerned,No,No,18-29 years,Accept,,Diploma,Woman,South West,Nurse or midwife,Other Christian,Lagos state,True,True,True,False
540,vlab-nigeria-hw-midwife-1,22.32,2021-05-25 01:55:15.381+00:00,0,19,2021-06-25 21:46:09.670000+00:00,2021-06-25 21:36:14+00:00,14.073,cf54d13bf3f7365e4b59932ee6923c19d6ad8b61d7524422dd2fe68cb9ed486f,11.026500000000002,6.069,b43cefd2-9965-4869-8494-99a700a20833,HCP,595.67,Extremely important,A great deal,Nigerian Center for Disease Control (NCDC),"Yes, somewhat","Yes, somewhat",No,,Out of stock,Agree,Disagree,Disagree,Strongly agree,I will immediately take it,No,A bit difficult,Very much,Very safe,Very important,Very important,Yes,3,Yes,Social media,Adverse side effects,Yes,All of the above listed,Yes,No,Yes,Yes,All of the above listed,Public,No,,,No,,,,,Don't have account,,Secondary healthcare facility,,,,No,Very concerned,No,No,18-29 years,Accept,,Diploma,Woman,North Central (Middle Belt),Nurse or midwife,Other Christian,Niger state,False,True,False,False
542,vlab-nigeria-hw-midwife-1,28.214299999999998,2021-05-25 01:55:15.381+00:00,0,19,2021-06-26 09:23:59.307000+00:00,2021-06-26 09:13:25.034000+00:00,17.234750000000002,50441014788b7131431d8f03c604578b60e7d4c4f3b888ff531442385e5dad53,12.04,6.095000000000001,b43cefd2-9965-4869-8494-99a700a20833,HCP,634.273,Extremely important,A moderate amount,"International Organizations like CDC, WHO",Not at all,Don’t know / Can’t say,"Yes, first dose only",To prevent COVID-19 from spreading,,,,,,,,Very easy,Moderately,Very safe,Very important,Very important,Yes,5 years,No,,,Yes,Getting informations,Yes,No,No,Yes,"Chatting with friends,videos n information",Public,No,,,No,,,,,Yes,Getting informations,Secondary healthcare facility,Yes,Don’t remember,Yes,No,Very concerned,No,No,18-29 years,Accept,,Bachelors,Woman,South West,Nurse or midwife,Other Christian,Ondo State and Ekiti state,True,True,True,False
135,,44.3982,2021-05-25 01:55:15.381+00:00,0,19,2021-06-30 10:20:48.416000+00:00,2021-06-30 10:01:01.435000+00:00,29.974500000000003,53d0fbf76ead961b00afbdabaf38ca8bce2cff097ec6f97c4efcf6a0b2ef7b19,25.122,7.11,b43cefd2-9965-4869-8494-99a700a20833,HCP,1186.981,Extremely important,A moderate amount,"International Organizations like CDC, WHO","Yes, somewhat","Yes, somewhat","Yes, first dose only",To prevent COVID-19 from spreading,,,,,,,,A bit difficult,Very much,Moderately safe,Very important,Very important,Yes,5years,Yes,General Midwife Health care?,Too much of worm water.,Yes,Nose cover,No,,,Don't have account,,Private,,,,No,,,,,No,,,,,,No,Very concerned,No,No,30-39 years,Accept,,Secondary school,Man,South West,Pharmacist,Islam,OYO STATE,False,True,True,False
604,vlab-nigeria-hw-ppmv-1,25.90460000000001,2021-05-25 01:55:15.381+00:00,0,19,2021-06-25 20:21:58.575000+00:00,2021-06-25 20:10:39.085000+00:00,16.19,5599564957095fdb1025064bba55877424ad416a10401de3410bab8ab6c576d0,12.559000000000001,6.627000000000001,b43cefd2-9965-4869-8494-99a700a20833,HCP,679.49,Extremely important,A moderate amount,Ministry of Health,"Yes, somewhat","Yes, definitely",No,,I don't take it serious,Disagree,Disagree,Neither agree nor disagree,Disagree,I will immediately take it,No,Very difficult,A little,A little safe,Moderately important,Very important,Yes,5,No,,,Yes,Catching up with friends,Yes,Yes,Yes,Yes,Catching up with friends,Private,Yes,Yes,Yes,No,,,,,No,,,,,,No,Moderately concerned,No,No,18-29 years,Accept,,Diploma,Woman,South West,Other public health practitioner,Other Christian,Lagos,False,False,False,False
323,vlab-nigeria-hw-generic-1,26.997000000000003,2021-05-25 01:55:15.381+00:00,0,19,2021-06-30 10:14:32.313000+00:00,2021-06-30 10:04:08.104000+00:00,16.85,0b35cf3c97e1e9c3e0afc510cf2893462303b936355d5eccce9426a6afdbb626,10.327,5.007000000000001,b43cefd2-9965-4869-8494-99a700a20833,HCP,624.209,Slightly important,A moderate amount,Ministry of Health,"Yes, somewhat","Yes, somewhat",No,,Because of the rumors going around,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,"I will take it, but want to wait and see",,Quite easy,A little,A little safe,A little important,A little important,Not sure,4,Yes,On social media,It’s magnetic and can light up a bulb,Yes,Business,Don’t remember,,,Don't have account,,Public,,,,No,,,,,Don't have account,,Secondary healthcare facility,,,,No,Moderately concerned,No,No,30-39 years,Accept,,Other,Prefer not to say,South South (Niger Delta),Nurse or midwife,Other,Preferably not to say,True,False,False,False
512,vlab-nigeria-hw-generic-3,50.75180000000001,2021-05-25 01:55:15.381+00:00,0,19,2021-06-28 05:23:53.800000+00:00,2021-06-28 05:06:04.064000+00:00,26.712500000000002,b0f6d82fe3bce94ba6ef2d5efafcbdedc1dabc622ce3cb4ed06a5634320a303b,19.609,8.13,b43cefd2-9965-4869-8494-99a700a20833,HCP,1069.736,Moderately important,A great deal,TV,"Yes, definitely","Yes, definitely","Yes, first dose only",To protect myself and my family,,,,,,,,Very easy,Very much,Very safe,Very important,Very important,Yes,4year,Yes,In heard it only in the ministry of health but not really and also so u believe of it,I'm not see any kind of this disease but is very important to Take preventive measure for spread disease in the people,Yes,I'm just chat with my friend's,Yes,No,Yes,Yes,Just for chatting with my friend,Private,No,,,No,,,,,No,,,,,,No,Very concerned,Yes,No,18-29 years,Accept,,Diploma,Man,North West,PPMV/chemists,Islam,Katsina state,True,True,True,False
97,,33.21500000000002,2021-05-25 01:55:15.381+00:00,0,19,2021-06-27 02:37:50.500000+00:00,2021-06-27 02:24:27.450000+00:00,24.301000000000002,398045d26389d120cc9e48b4e221cdade357e2270bb2afd3742bb5b393a75085,15.401000000000002,7.306,b43cefd2-9965-4869-8494-99a700a20833,HCP,803.05,Extremely important,A great deal,Online Social Media,"Yes, somewhat","Yes, somewhat","Yes, first dose only",To protect myself and my family,,,,,,,,A bit difficult,Moderately,Very safe,Very important,Very important,Yes,8years,Yes,Church,People interested in the vaccine,Yes,"Catching up with friends, get health care information and business too",Yes,Yes,Yes,Yes,"Catching up with friends, get health care information and business too",Private,No,,,No,,,,,Don't have account,,,,,,No,Very concerned,Yes,No,30-39 years,Accept,,Diploma,Woman,North East,Nurse or midwife,Other Christian,Abuja,False,True,True,False
192,,3865.0673000000133,2021-05-25 01:55:15.381+00:00,0,19,2021-06-28 06:31:53.181000+00:00,2021-06-27 12:12:00.014000+00:00,70.93425,00066c2061e6c62152766e3f7bb2acd35ea2b080404b25a492603a99d7a5ea2d,21.8515,8.339,b43cefd2-9965-4869-8494-99a700a20833,HCP,65993.167,Moderately important,A little,Radio,Not at all,Don’t know / Can’t say,No,,I don’t wish to,Strongly disagree,Disagree,Strongly disagree,Disagree,Unsure,,Don’t know/Can’t say,Not at all,Not at all safe,A little important,Moderately important,No,2 yrs,No,,,Yes,For fun,No,,,No,,Private,,,,No,,,,,No,,,,,,No,A little concerned,Not sure,No,18-29 years,Accept,,Diploma,Woman,South East,Community health worker,Catholic,Lagos,False,False,False,False
267,vlab-nigeria-hw-chw-1,61.7851,2021-05-25 01:55:15.381+00:00,0,19,2021-06-30 01:39:59.709000+00:00,2021-06-30 01:17:43.108000+00:00,34.35625,35d6ed2c7e769b07bb0cf760346df4171d87eb211118ea50643df4213b65b132,20.961,8.266,b43cefd2-9965-4869-8494-99a700a20833,HCP,1336.601,Extremely important,A great deal,"International Organizations like CDC, WHO","Yes, definitely","Yes, definitely",No,,Simply because I always take preventives measure,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Very unlikely to take it,,Don’t know/Can’t say,A little,Don’t know/Can’t say,Don’t know/Can’t say,Don’t know/Can’t say,Yes,14years ago,Yes,Social media,Side effect,Yes,Catching up with friends and getting information,Don’t remember,,,Yes,Catching up with friends and getting information,Private,Don’t remember,,,No,,,,,Don't have account,,,,,,No,Very concerned,No,No,30-39 years,Accept,,Bachelors,Man,South East,Community health worker,Other Christian,"Am from South west, Osun",False,False,False,False
391,vlab-nigeria-hw-generic-2,25.642500000000002,2021-05-25 01:55:15.381+00:00,0,19,2021-06-25 20:18:53.298000+00:00,2021-06-25 20:09:19.131000+00:00,18.082500000000003,8fa10766a3991589a9f5c825e5308f8aac3a45c99d03f24965eb79f1b89084f3,15.252,4.788,b43cefd2-9965-4869-8494-99a700a20833,HCP,574.167,Extremely important,A moderate amount,"International Organizations like CDC, WHO","Yes, definitely","Yes, definitely","Yes, first dose only",To protect myself and my family,,,,,,,,Quite easy,Moderately,Very safe,Moderately important,Moderately important,Yes,4,Yes,Online,Thats its not too good for the health,Yes,Catching up with friends,No,,,Yes,Catching up with friends,Private,No,,,Yes,Watching videos,No,,,No,,,,,,No,Not at all concerned,No,No,18-29 years,Accept,,,Man,South West,Community health worker,,,True,False,True,False
544,vlab-nigeria-hw-midwife-1,37.258399999999995,2021-05-25 01:55:15.381+00:00,0,19,2021-06-25 10:41:51.991000+00:00,2021-06-25 10:24:26.956000+00:00,26.671,345cccaba56ec80bba62a89e7981dc336a8847b59bbeb7d024219ebe0dc140a3,14.348,8.768,b43cefd2-9965-4869-8494-99a700a20833,HCP,1045.035,Moderately important,A moderate amount,"International Organizations like CDC, WHO","Yes, somewhat","Yes, definitely",No,,"Because I didn't trust the vaccine,due to my previous experience about mectizan tab in the past.",Agree,Disagree,Strongly disagree,Disagree,"I will take it, but want to wait and see",,Quite easy,Moderately,Moderately safe,Not at all important,A little important,Yes,13years,Yes,From my colleague and family members.,People are concerning about how safe is the vaccine for there health and if it's going to have effect on them in the future.,Yes,Catching up with friends and business purposes.,Yes,Yes,No,Yes,Business and to get informations about my school.,Public,Yes,Yes,No,No,,,,,No,,Secondary healthcare facility,,,,Yes,Not at all concerned,No,Yes,30-39 years,Accept,,Bachelors,Woman,North Central (Middle Belt),Nurse or midwife,Other Christian,Kwara,True,False,False,False
633,vlab-nigeria-hw-ppmv-1,38.11540000000001,2021-05-25 01:55:15.381+00:00,0,19,2021-06-28 09:01:26.969000+00:00,2021-06-28 08:40:24.749000+00:00,26.146500000000003,c7d08231bab4ee07cd026901edfb36b038d62b1ae245068df7296521c8033c00,13.902000000000001,8.091000000000001,b43cefd2-9965-4869-8494-99a700a20833,HCP,1262.22,Moderately important,A little,"International Organizations like CDC, WHO","Yes, somewhat","Yes, somewhat","Yes, first dose only",My duty to get vaccinated to protect patients,,,,,,,,Quite easy,Moderately,A little safe,Moderately important,Moderately important,Yes,8,Yes,Social media,Patients reacting to the vaccine negatively,Yes,Watching videos and catching up with friends,Don’t remember,,,Yes,Catching up with friends,Private,No,,,Yes,Watching videos,No,,,No,,,,,,No,Moderately concerned,No,No,30-39 years,Accept,,Other,Woman,South West,Nurse or midwife,Other Christian,Lagos,True,False,True,False
312,vlab-nigeria-hw-generic-1,21.267,2021-05-25 01:55:15.381+00:00,0,19,2021-06-25 18:13:24.065000+00:00,2021-06-25 18:03:19.504000+00:00,14.68425,3497f8fe7e0ddf77df55af03aeee7ad62fef0990a1f1ba8bf030fb05d5a69f05,11.817,6.607,b43cefd2-9965-4869-8494-99a700a20833,HCP,604.561,Extremely important,A moderate amount,Nigerian Center for Disease Control (NCDC),"Yes, definitely","Yes, definitely","Yes, both doses",To prevent COVID-19 from spreading,,,,,,,,Very easy,Very much,Very safe,Very important,Very important,Yes,32years,Yes,Patients and public,Side effects,Yes,All the above,Yes,Don’t remember,Yes,Yes,All of the above suggestions apply,Public,Yes,Yes,Yes,No,,,,,No,,Primary healthcare facility,,,,Yes,Very concerned,Yes,Not sure,50-59 years,Accept,,Other,Man,South East,Medical doctor,Other Christian,Lagos in South West. Made a mistake above,True,True,True,True
